Name,Volcano,Latitude (degrees),Longitude (degrees),Climate zone,Vent elevation (m a.s.l.),Date,Local start time,Start time (UTC),Duration (hours),VEI,Plume height (km a.v.l.),MER (kg/s)
Agung 1963,Agung,-8.342,115.508,Tropical,3142,1963-03-17,5:32,1963-03-16 22:32,5,5,10,1625000
Bezymianny 1956,Bezymianny,55.978,160.587,Temperate,2882,1956,NaN,NaN,0.5,5,40.5,575000000
Cerro Negro 1971,Cerro Negro,12.506,-86.702,Tropical,728,1971-02-03,10:00,1971-02-03 16:00,144,3,6,87500
El Chichon March 1982,El Chichon,17.36,-93.228,Tropical,1150,1982-03-29,NaN,1982-03-29 05:32,4,5,26,68250000
"El Chichon April 1982, 01:35",El Chichon,17.36,-93.228,Tropical,1150,1982-04-04,NaN,1982-04-04 01:34,7,5,26,47000000
El Chichin April 1982 11:22,El Chichon,17.36,-93.228,Tropical,1150,1982-04-04,NaN,1982-04-04 11:21,5,5,26,37500000
Fuego 1971,Fuego,14.473,-90.88,Tropical,3763,1971-09-14,14:45,1971-09-14 20:44,10,3,10,1600000
Heimaey 1973,Heimaey,63.43,-20.28,Cold,279,1973,NaN,NaN,,3,4.5,250000
Hekla 1970,Hekla,63.98,-19.7,Cold,1491,1970,NaN,NaN,2,3,14,8250000
Hekla 1947,Hekla,63.98,-19.7,Cold,1491,1947,NaN,NaN,0.5,4,27.6,62500000
Komagatake 1928,Komagatake,42.061,140.681,Temperate,1131,1928,NaN,NaN,,1,13.9,39675000
Miyake 1983,Miyake,34.079,139.529,Subtropics,815,1983-10-3,15:15,1983-10-03 06:15,10,3,6,1425000
Pinatubo 1991,Pinatubo,15.13,120.35,Tropical,1486,1991-06-15,NaN,NaN,1.3,6,34,1000000000
St. Helens July 1980,St. Helens,46.2,-122.18,Temperate,2549,1980-07,NaN,NaN,,NaN,6,5000000
St. Helens May 1980 (I),St. Helens,46.2,-122.18,Temperate,2549,1980-05-18,NaN,NaN,2,NaN,13.9,6300000
St. Helens May 1980 (II),St. Helens,46.2,-122.18,Temperate,2549,1980-05-18,NaN,NaN,0.4,NaN,16,13000000
St. Helens May 1980 (III),St. Helens,46.2,-122.18,Temperate,2549,1980-05-18,NaN,NaN,6.9,NaN,13.1,3900000
St. Helens May 1980 (IV),St. Helens,46.2,-122.18,Temperate,2549,1980-05-18,NaN,NaN,0.75,NaN,17.5,16000000
Nevado del Ruiz 1985,Nevado del Ruiz,4.895,-75.322,Tropical,5321,1985,NaN,NaN,0.3,3,26.5,32500000
Ngauruhoe 1974,Ngauruhoe,-39.13,175.642,Subtropics,1978,1974,NaN,NaN,14,3,2.6,25000
Quizapu 1932,Quizapu,-35.653,-70.761,Subtropics,3788,1932,NaN,NaN,18,5,28.5,150000000
Santa Maria 1902,Santa Maria,14.756,-91.552,Tropical,3772,1902,NaN,NaN,30,NaN,28,137500000
Soufriere 1902,Soufriere,13.33,-61.18,Tropical,1220,1902,NaN,NaN,3,NaN,25,65000000
Usu 1977 (I),Usu,42.541,140.842,Temperate,737,1977,NaN,NaN,,NaN,12,8435000
Usu 1977 (II),Usu,42.541,140.842,Temperate,737,1977,NaN,NaN,,NaN,10,6250000
Usu 1977 (III),Usu,42.541,140.842,Temperate,737,1977,NaN,NaN,,NaN,10,9500000
Vesuvius 79 (I),Vesuvius,40.821,14.426,Temperate,1281,79,NaN,NaN,11,NaN,32,150000000
Vesuvius 79 (II),Vesuvius,40.821,14.426,Temperate,1281,79,NaN,NaN,7,NaN,26,85000000
