id,public
somconnexio.100Min200MB,true
somconnexio.100MinSenseDades,true
somconnexio.150Min10GB,true
somconnexio.150Min1GB,true
somconnexio.150Min2GB,true
somconnexio.150Min500MB,true
somconnexio.150MinSenseDades,true
somconnexio.200Min200MB,true
somconnexio.200MinSenseDades,true
somconnexio.ADSL20MB1000MinFix,true
somconnexio.ADSL20MB100MinFixMobile,true
somconnexio.ADSL20MBSenseFix,true
somconnexio.CompartidesFibra1Gb2mobils,true
somconnexio.CompartidesFibra1Gb3mobils,true
somconnexio.CompartidesFibra300Mb2mobils,true
somconnexio.CompartidesFibra300Mb3mobils,true
somconnexio.CompartidesFibra300MbSF2mobils,true
somconnexio.CompartidesFibra300MbSF3mobils,true
somconnexio.Fibra100Mb,true
somconnexio.Fibra1Gb,true
somconnexio.Fibra300Mb,true
somconnexio.Fibra600Mb,true
somconnexio.PackFibra100MbIL20GB,true
somconnexio.PackFibra1GbIL20GB,true
somconnexio.PackFibra300MbIL20GB,true
somconnexio.PackFibra600MbIL20GB,true
somconnexio.PackSenseFixFibra100MbIL20GB,true
somconnexio.PackSenseFixFibra300MbIL20GB,true
somconnexio.SenseFixFibra300Mb,true
somconnexio.SenseMinuts10GB,true
somconnexio.SenseMinuts1GB,true
somconnexio.SenseMinuts2GB,true
somconnexio.SenseMinuts500MB,true
somconnexio.SenseMinutsSenseDades,true
somconnexio.DadesAddicionals500MB,true
somconnexio.DadesAddicionals1GB,true
somconnexio.DadesAddicionals3GB,true
somconnexio.DadesAddicionals10GBCompartides,true
somconnexio.DadesAddicionals20GBCompartides,true
